C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.14CEST22:27:39

 IdentList
----------

 # ;typed ident;            identifier             ;typ;             all types             ;     coord1 (ICRS,J2000/2000)      ;      coord4 (Gal,J2000/2000)      ;        pm         ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;morph. type;#bib;#not
---;-----------;-----------------------------------;---;-----------------------------------;-----------------------------------;-----------------------------------;-------------------;-------;---------;------------;----------;------;------;------;------;------;---------------;-----------;----;----
51 ;HD 13808   ;HD 13808                           ;PM*;*,PM*,IR                           ;033.1788564683538 -53.7438924154200;279.0937930102128 -59.4604877518396;-107.923 30.975    ;  35.39;41.03    ;0.000137    ;41.03     ;     ~; 9.232; 8.38 ; 8.06 ;     ~;K2V            ;~ ~ ~      ;  59;   1
52 ;HD 28678   ;HD 28678                           ;*  ;*,IR                               ;067.8560590275871 +04.5752945986872;190.8214052415813 -28.1979649366346;  1.214 -10.471    ;   5.24;61.77    ;0.000206    ;61.78     ;     ~; 9.43 ; 8.440;     ~;     ~;G8IV           ;~ ~ ~      ;  24;   1
53 ;HD 4747    ;HD 4747                            ;SB*;**,**,SB*,SB*,*,PM*,PM*,PM*,IR,X,X ;012.3615050474767 -23.2124627094642;116.2590364824696 -86.0583784205726;518.372 123.849    ;  53.18;9.63     ;0.000032    ;9.63      ; 8.244; 7.927; 7.155; 6.732; 6.344;G8/K0V         ;~ ~ ~      ; 130;   0
54 ;HD 204941  ;HD 204941                          ;PM*;**,*,PM*,PM*,PM*,IR                ;323.0979581250051 -20.9574221190161;029.4592516146388 -44.4244012475158;-279.074 -124.241  ;  34.79;32.57    ;0.000109    ;32.57     ;     ~; 9.39 ; 8.48 ;     ~;     ~;K2V            ;~ ~ ~      ;  66;   1
55 ;HD 200964  ;HD 200964                          ;PM*;*,PM*,PM*,IR                       ;316.6660100325813 +03.8031177775011;053.5647715705059 -27.6355444489240;  94.608 50.604    ;  13.75;-72.63   ;-0.000242   ;-72.62    ;     ~; 7.379; 6.487;     ~;     ~;G8IV           ;~ ~ ~      ;  68;   1
56 ;HD 96063   ;HD 96063                           ;*  ;*,IR                               ;166.1852279870392 -02.5132182205411;257.7784065747605 +50.7606054844132; 27.950 -18.198    ;   7.11;-1.18    ;-0.000004   ;-1.18     ;     ~; 9.09 ; 8.254;     ~;     ~;G6V            ;~ ~ ~      ;  25;   1
57 ;HD 192699  ;HD 192699                          ;PM*;*,PM*,IR                           ;304.0250172786837 +04.5807948147386;047.1305637870906 -16.4930414344275;-41.239 -52.035    ;  13.89;13.20    ;0.000044    ;13.20     ;     ~; 7.314; 6.446;     ~;     ~;G8IV           ;~ ~ ~      ;  51;   1
58 ;HD 143761  ;* rho CrB                          ;PM*;**,*,PM*,PM*,PM*,Ro*,IR,UV,X       ;240.2610866884542 +33.3035117348703;053.4888125972192 +48.9235248443288;-198.536 -772.415  ;  57.22;17.99    ;0.000060    ;17.99     ;     ~; 6.01 ;     ~; 5.0  ;     ~;G0+VaFe-1      ;~ ~ ~      ; 582;   1
59 ;HD 564     ;HD 564                             ;PM*;*,*,PM*,IR                         ;002.4700919907079 -50.2678249366392;319.0939237068099 -65.5362463916066;-95.915 -17.387    ;  19.52;11.40    ;0.000038    ;11.40     ;     ~; 8.90 ; 8.29 ;     ~;     ~;G2/3V          ;~ ~ ~      ;  43;   0
60 ;HD 96700   ;HD 96700                           ;PM*;*,PM*,PM*,IR                       ;166.9767789553509 -30.1745680933869;277.7325565790791 +27.5822088102923;-505.444 -132.436  ;  39.32;12.79    ;0.000043    ;12.79     ;     ~; 7.11 ; 6.503; 6.59 ; 8.95 ;G1VFe-0.5      ;~ ~ ~      ; 126;   1
