recno,Star,S/N,pop,[CuI/Fe],e_[CuI/Fe],o_[CuI/Fe],[ZnI/Fe],e_[ZnI/Fe],o_[ZnI/Fe],[SrI/Fe],e_[SrI/Fe],o_[SrI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[ZrI/Fe],e_[ZrI/Fe],o_[ZrI/Fe],[ZrII/Fe],e_[ZrII/Fe],o_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[CeII/Fe],e_[CeII/Fe],o_[CeII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe],[AlI/Fe],e_[AlI/Fe],o_[AlI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe]
951,"   HD36051",196," thin",-0.14,0.09,4,-0.09,0.02,3,0.1,0.06,1,0.08,0.03,6,,,0,-0.03,0.12,4,0.22,0.03,3,0.09,0.04,4,0.01,0.05,4,,,0,-0.25,0.0,2,-0.03,0.03,3,-0.03,0.04,13,0.05,0.05,12,0.01,0.05,20,-0.06,0.01,5
952,"   HD87838",585," thin",-0.04,0.05,4,-0.04,0.06,3,-0.09,0.04,1,-0.16,0.05,6,,,0,-0.05,0.04,4,-0.08,0.04,3,-0.07,0.04,4,-0.05,0.09,4,0.25,0.07,1,0.03,0.12,2,0.13,0.04,3,0.05,0.07,14,0.12,0.05,12,0.1,0.09,19,0.09,0.03,5
953,"   HD88474",188," thin",-0.12,0.12,4,-0.17,0.06,3,0.03,0.07,1,-0.06,0.08,6,,,0,0.07,0.06,4,0.09,0.05,3,0.21,0.03,3,0.16,0.08,4,,,0,-0.01,0.02,2,-0.04,0.06,3,0.05,0.06,13,0.11,0.13,11,0.08,0.06,16,0.09,0.06,5
954,"  HD220367",224," thin",-0.05,0.09,4,-0.05,0.03,3,-0.09,0.05,1,-0.15,0.05,6,,,0,-0.09,0.04,4,-0.04,0.06,3,-0.05,0.06,4,-0.09,0.07,4,0.08,0.18,1,-0.01,0.01,2,0.09,0.07,3,0.03,0.02,14,0.09,0.06,12,0.06,0.02,21,0.04,0.02,5
955," BD+063077",34,"thick",-0.14,0.14,4,-0.03,0.19,3,0.12,0.41,1,0.04,0.22,6,,,0,,,0,-0.07,0.13,3,,,0,,,0,,,0,0.4,,1,0.05,0.02,3,0.04,0.14,14,0.03,0.14,11,0.49,0.31,21,0.2,0.16,5
956,"   HD52265",290," thin",-0.02,0.03,4,-0.03,0.04,3,0.0,0.05,1,-0.05,0.04,6,,,0,-0.03,0.06,4,-0.08,0.03,3,-0.15,0.03,4,-0.13,0.04,4,-0.09,0.12,1,-0.03,0.01,2,-0.02,0.0,3,0.03,0.03,14,0.01,0.06,12,-0.02,0.04,22,-0.04,0.02,5
957,"   HD30053",98," thin",-0.15,0.05,4,-0.25,0.05,3,-0.03,0.11,1,-0.09,0.06,6,0.87,0.11,1,-0.01,0.05,3,-0.01,0.04,3,0.03,0.07,1,0.12,0.08,4,,,0,-0.26,0.03,2,0.01,0.08,3,-0.02,0.05,14,0.07,0.07,12,0.04,0.11,21,-0.01,0.02,5
958,"   HD94964",108," thin",-0.18,0.1,4,-0.19,0.02,3,0.06,0.09,1,0.05,0.05,6,0.42,0.25,2,0.05,0.1,4,0.11,0.03,3,0.14,0.03,4,0.03,0.08,4,,,0,-0.13,0.17,2,-0.03,0.24,3,0.0,0.04,14,0.12,0.1,12,0.1,0.06,22,0.1,0.19,5
959,"  HD145344",187," thin",-0.14,0.05,3,-0.08,0.04,3,0.0,0.09,1,-0.13,0.07,6,,,0,0.02,0.03,4,-0.09,0.05,3,-0.01,0.04,3,0.03,0.08,4,,,0,0.01,0.08,2,0.16,0.06,3,0.09,0.03,13,0.18,0.04,11,0.18,0.05,16,0.17,0.04,5
960,"  HD152433",114," thin",-0.08,0.07,4,-0.07,0.04,3,0.03,0.08,1,-0.01,0.02,6,,,0,-0.03,0.08,4,0.05,0.04,3,0.01,0.06,4,-0.04,0.05,4,,,0,-0.1,0.1,2,0.02,0.03,3,0.01,0.02,14,0.07,0.08,12,0.04,0.04,22,0.0,0.03,5
961,"   HD18083",91," thin",-0.04,0.07,4,-0.06,0.07,3,0.03,0.11,1,0.0,0.07,6,,,0,0.07,0.06,4,0.04,0.05,3,0.05,0.08,4,-0.07,0.04,4,,,0,-0.05,0.07,2,-0.04,0.04,3,-0.02,0.05,14,0.05,0.13,12,0.02,0.06,21,-0.01,0.02,5
962,"  HD208487",949," thin",-0.05,0.03,4,-0.07,0.02,3,-0.01,0.02,1,0.0,0.04,6,,,0,0.0,0.05,4,-0.02,0.02,3,-0.05,0.03,4,-0.07,0.06,4,-0.04,0.04,1,-0.05,0.0,2,0.0,0.04,3,0.0,0.01,14,0.04,0.05,12,0.01,0.03,22,-0.04,0.0,5
963,"  HD199086",117," thin",-0.03,0.05,4,-0.08,0.02,3,0.05,0.09,1,0.01,0.05,6,0.27,0.26,2,0.06,0.05,4,-0.03,0.03,3,0.02,0.07,4,-0.06,0.06,4,,,0,-0.08,0.07,2,-0.1,0.02,3,-0.01,0.09,14,-0.03,0.06,12,-0.03,0.04,21,-0.01,0.02,5
964,"   HD66039",184," thin",-0.11,0.04,4,-0.17,0.03,3,0.06,0.05,1,0.06,0.06,6,0.65,0.1,1,0.01,0.04,4,0.11,0.02,3,-0.06,0.05,4,-0.06,0.05,4,,,0,-0.07,0.04,2,-0.05,0.01,3,-0.04,0.02,14,0.05,0.06,12,0.0,0.03,22,-0.09,0.01,5
965,"  HD181428",261," thin",-0.02,0.07,4,0.0,0.02,3,0.01,0.05,1,0.0,0.04,6,,,0,-0.05,0.11,4,0.01,0.03,3,-0.16,0.04,4,-0.06,0.03,4,-0.02,0.16,1,-0.06,0.01,2,-0.01,0.05,3,0.01,0.03,14,0.02,0.08,12,0.01,0.04,22,0.0,0.01,5
966,"  HD144880",121," thin",0.0,0.09,4,-0.05,0.05,3,-0.09,0.1,1,-0.1,0.05,6,,,0,-0.01,0.06,4,0.05,0.07,3,-0.04,0.1,4,-0.01,0.09,4,,,0,0.03,0.05,2,0.1,0.08,3,0.07,0.04,14,0.13,0.08,12,0.08,0.06,22,0.08,0.03,5
967,"  HD199868",149," thin",-0.08,0.07,4,-0.06,0.02,3,-0.02,0.06,1,-0.06,0.03,6,,,0,0.0,0.04,4,0.01,0.03,3,-0.08,0.02,4,-0.1,0.04,4,,,0,-0.08,0.01,2,0.03,0.02,3,0.02,0.02,14,0.06,0.06,12,0.02,0.04,20,-0.01,0.02,5
968,"  HD195633",185," thin",-0.05,0.1,4,-0.05,0.05,3,0.01,0.08,1,-0.15,0.05,6,,,0,-0.07,0.08,4,-0.06,0.04,3,-0.06,0.05,4,-0.05,0.08,4,,,0,-0.06,0.08,2,0.13,0.05,3,0.09,0.02,14,0.13,0.05,11,0.11,0.04,17,0.11,0.02,5
