recno,Star,Teff,e_Teff,logg,e_logg,loggHIP,e_loggHIP,[Fe/H],e_[Fe/H],vtur,e_vtur,loggcor,SimbadName,_RA,_DE
518,"HD140901",5610,21.0,4.46,0.03,4.48,0.02,0.09,0.01,0.9,0.02,4.46,"HD140901",236.87126,-37.91632
562,"HD149396",5657,23.0,4.47,0.03,4.37,0.08,0.19,0.02,0.91,0.03,4.46,"HD149396",248.98184,-37.36306
757,"HD147513",5858,18.0,4.5,0.03,4.51,0.01,0.03,0.01,1.03,0.02,4.44,"HD147513",246.00537,-39.19298
410,"HD150474",5425,25.0,4.01,0.04,3.9,0.06,0.01,0.02,0.96,0.03,4.06,"HD150474",250.69437,-37.34252
144,"HD148303",4829,84.0,4.44,0.22,4.53,0.06,-0.03,0.03,0.55,0.26,4.66,"HD148303",247.08865,-31.13082
960,"HD152433",6144,27.0,4.49,0.03,4.26,0.08,-0.1,0.02,1.19,0.04,4.35,"HD152433",253.66859,-32.19015
379,"HD154088",5374,43.0,4.37,0.07,4.47,0.03,0.28,0.03,0.85,0.07,4.43,"HD154088",256.11601,-28.58268
726,"HD150437",5826,30.0,4.29,0.04,4.3,0.07,0.3,0.02,1.09,0.03,4.24,"HD150437",250.53045,-29.12499
1049,"HD143790",6557,41.0,4.11,0.05,3.89,0.05,-0.06,0.03,2.05,0.06,3.8,"HD143790",240.89316,-32.00054
966,"HD144880",6152,35.0,4.38,0.04,4.17,0.05,-0.3,0.02,1.33,0.05,4.24,"HD144880",242.29635,-32.10034
942,"HD144846",6102,23.0,4.52,0.03,4.47,0.1,0.13,0.02,1.11,0.03,4.4,"HD144846",242.26764,-30.2587
316,"HIP78242",5244,38.0,4.4,0.07,4.55,0.14,-0.01,0.02,0.73,0.07,4.49,"HIP78242",239.63602,-30.44678
685,"HD143114",5775,18.0,4.39,0.02,4.25,0.04,-0.41,0.01,0.92,0.03,4.35,"HD143114",239.90945,-29.63256
1038,"HD144589",6372,37.0,4.28,0.03,,,-0.05,0.03,1.72,0.05,4.05,"HD144589",241.91173,-29.96247
917,"HD145377",6054,16.0,4.53,0.03,4.44,0.07,0.12,0.01,1.11,0.02,4.42,"HD145377",242.90186,-27.07817
34,"HD151692",4567,142.2,4.25,0.37,4.56,0.09,-0.03,0.13,0.15,1.28,4.56,"HD151692",252.47149,-24.44694
833,"HD148211",5948,22.0,4.36,0.02,4.16,0.06,-0.62,0.02,1.4,0.04,4.28,"HD148211",246.80375,-22.1268
1012,"HD108147",6260,29.0,4.47,0.03,4.42,0.03,0.18,0.02,1.3,0.03,4.29,"HD108147",186.44278,-64.02209
446,"HD110291",5480,25.0,4.38,0.04,4.54,0.1,-0.02,0.02,0.69,0.04,4.41,"HD110291",190.40717,-56.63342
570,"HD111777",5666,19.0,4.46,0.03,4.36,0.07,-0.68,0.01,0.82,0.04,4.45,"HD111777",193.04852,-56.57444
890,"HD106290",6012,23.0,4.55,0.03,4.51,0.07,0.13,0.02,1.03,0.03,4.45,"HD106290",183.46989,-55.2074
991,"HD105938",6208,25.0,4.27,0.04,4.02,0.05,0.03,0.02,1.6,0.03,4.11,"HD105938",182.9088,-54.41764
