recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
536,"HD102300",5987.0,4.14,-0.31,8.323,0.724,2.616,4.388,0.095,0.037,"2","none","thin ",112.22,"HD102300",176.61475,-24.97624
717,"CD-2310879",6788.0,4.26,-0.24,0.426,0.298,5.388,5.5,-0.063,0.028,"2","none","thin ",421.16,"CD-2310879",195.86471,-24.42003
481,"HD109310",5922.0,4.47,-0.51,10.105,2.085,2.089,3.53,0.092,0.043,"2","none","thin ",434.18,"HD109310",188.45443,-23.51575
179,"HD115617",5558.0,4.37,-0.02,7.309,3.775,1.527,2.936,-0.09,0.04,"2","nept","thin ",2000.73,"HD115617",199.60131,-18.3112
275,"HD116259",5700.0,4.19,0.11,8.742,1.078,1.542,3.542,-0.008,0.022,"2","none","hamr ",174.99,"HD116259",200.68169,-18.0309
374,"HD111031",5801.0,4.34,0.27,4.075,1.629,1.536,3.467,-0.051,0.03,"2","jup ","thin ",987.84,"HD111031",191.62851,-11.81244
113,"HD97343",5410.0,4.44,-0.06,8.845,3.907,0.886,2.624,0.028,0.039,"2","none","hamr ",431.12,"HD97343",168.00496,-26.13667
266,"HD97783",5682.0,4.48,-0.73,13.096,0.222,1.388,2.927,0.356,0.064,"2","none","thick",227.5,"HD97783",168.70805,-23.64665
190,"HD94151",5583.0,4.39,0.04,5.541,3.611,1.843,2.933,0.008,0.027,"2","none","thin ",390.12,"HD94151",162.91346,-22.07183
594,"HD96276",6080.0,4.37,-0.02,2.713,1.61,2.61,4.24,-0.024,0.03,"2","none","thin ",125.27,"HD96276",166.46139,-20.40908
636,"HD91379",6164.0,4.27,-0.29,5.119,1.649,3.615,4.751,0.027,0.042,"2","none","thin ",107.49,"HD91379",158.18522,-19.20175
501,"HD93932",5950.0,4.22,0.05,5.682,1.071,1.877,4.113,0.013,0.029,"2","none","thin ",149.57,"HD93932",162.6063,-15.10419
371,"HD105779",5792.0,4.47,-0.25,6.182,3.387,2.017,3.185,0.056,0.035,"2","none","thin ",205.34,"HD105779",182.66227,-16.95629
364,"HD109271",5783.0,4.24,0.1,7.197,1.369,0.645,3.624,-0.083,0.023,"2","nept","thin ",339.95,"HD109271",188.39814,-11.62187
77,"HD98356",5322.0,4.48,0.1,4.13,3.788,0.746,2.484,0.066,0.059,"2","none","thin ",243.31,"HD98356",169.66541,-10.12621
260,"HD101644",5678.0,4.56,-0.56,9.429,3.355,1.843,2.759,0.258,0.046,"2","none","thin ",188.79,"HD101644",175.43771,-6.68452
589,"HD103891",6072.0,3.93,-0.19,3.679,0.284,2.763,5.091,0.049,0.021,"2","none","thin ",430.9,"HD103891",179.43876,-8.54871
262,"HD106116",5680.0,4.37,0.14,5.58,2.604,1.85,3.143,-0.058,0.026,"2","none","thin ",928.14,"HD106116",183.12018,-3.08447
313,"HD101339",5731.0,4.45,-0.1,5.043,3.27,1.385,3.087,0.018,0.033,"2","none","thin ",193.49,"HD101339",174.91582,-4.98447
203,"HD101367",5615.0,4.38,0.29,5.183,2.576,2.255,3.005,-0.037,0.035,"2","none","thin ",84.46,"HD101367",174.9831,-4.96082
144,"HD104263",5477.0,4.37,0.02,9.192,3.287,0.773,2.831,0.06,0.038,"2","none","hamr ",776.89,"HD104263",180.1144,-4.54881
4,"HD103720",4949.0,4.56,-0.01,5.951,4.713,2.37,2.0,-0.01,0.139,"2","jup ","thin ",227.24,"HD103720",179.17161,-2.77895
